theta_base_deg,total_thickness_m,D11_Nm,D12_Nm,D22_Nm,D66_Nm,critical_load_N_per_m
16.854305348131312,0.019112857515378494,66944.1406975798,7455.714492737443,14599.251417758729,27151.55352617204,7842414.657800555
32.93972738151323,0.01277585271554666,12492.004882608902,5164.269042281291,5987.6994354633325,19859.23542774885,4612629.83940276
7.020838819909644,0.004807901366051648,1219.3809285460816,44.392600780085814,227.20624345050223,135.04845347529312,72744.87546076828
2.613762547568976,0.017591170623948833,61187.89329719187,1435.7793159452235,11142.87803568915,3660.3979554057305,3054904.5377805266
27.050175528444395,0.01474530640032882,23673.369058504948,6418.585049514148,7779.746110632246,24447.726177657696,5829596.386795911
0.9263022433111101,0.0194583773389159,83095.51729709093,1799.789617589549,15085.955696616254,4380.344707498122,4036220.5217345366
37.45991883601898,0.005822103992208972,978.0704031717421,541.3286902717248,665.6557393064298,2089.807903678451,487520.1457127778
8.182123524319527,0.005301281177361809,1618.2239436170985,67.70855980860361,304.56850162103757,213.83237767753502,103179.86935255937
13.690900933179197,0.011445615769380283,15199.602817900693,1213.0522977902285,3088.3206742513626,4278.536722864313,1409120.328262868
19.43752583889521,0.007242124523564755,3449.5580142188583,493.1773520624671,811.497747580291,1827.3830187421281,489700.843478347
27.533380262507077,0.0045108894917367534,667.3249679304278,187.68920205012114,225.33862313778232,715.6385406095063,169998.73654348674
13.146509184084817,0.008594513179286452,6489.691844060804,487.5244861240776,1305.487892236031,1707.2075356657663,578289.8745667504
20.523149289766618,0.016133167305074247,37186.19464402978,5872.369693552593,9079.48279172533,21882.887392527657,5720058.277115544
8.985320197126189,0.01125621989144501,15369.248987576259,708.6594751537759,2916.0882427424494,2288.9752532890116,1029592.5982621385
26.65865559879191,0.002836107428959959,170.54620827599183,44.87344759532122,54.85529591183873,170.76579409850288,40854.94346193485
27.339518335564726,0.0050694342263712475,953.1288765611876,264.1717928635228,318.3329408074948,1006.8417814761291,239528.37801103474
2.9273216843375782,0.01907993967056,77997.8712106854,1871.2461547019007,14216.946484953014,4827.458682831106,3924927.7282097777
43.45344148835517,0.016551152266096304,16846.546013467207,13224.750259936929,19341.072677729655,51164.27370266912,12344211.202608934
13.70761961280168,0.00375809805211491,537.9039484869303,43.008337029738556,109.32823403638943,151.72611093409046,49928.75114951425
30.79048619304706,0.009922744887312825,6348.570618462847,2263.5898334787626,2621.4145196447776,8680.557009425913,2026119.5770875558
5.491720568015047,0.010913184382002864,14416.68950005592,440.4538366811603,2658.0702085190846,1264.5353399929159,796496.9029040763
1.5474834501848278,0.01836776723741808,69830.81013359567,1544.8991330671547,12687.75113256927,3808.6835108267787,3416195.3606297546
11.645099172000762,0.013925401118371677,28200.605219526027,1784.7775254580033,5535.112056659583,6105.945158455324,2257531.274727921
14.026998424023493,0.011361224381200595,14786.460495508782,1224.4304169755562,3023.887666168634,4336.645358599452,1404942.4524105191
24.601962570447583,0.005327380199459487,1202.5464681660865,269.0075754199789,348.1964948194959,1018.1824018046375,248878.55146389233
43.63130824940514,0.015952390820500064,14946.478904344458,11847.644616388974,17440.351065550196,45837.39105005003,11075388.870764757
42.27745237038851,0.01810689230769768,23411.52404738906,17218.430391710008,24163.884466074494,66602.40182357811,15923812.66992357
26.905499046498832,0.018593736230416102,47686.40668367713,12787.09776386085,15546.371475336846,48688.89280715277,11623901.093297804
3.9821625923363775,0.005527691523544613,1888.7780466821773,49.48681957467907,345.5906997869567,133.32564700279332,98176.25292485277
2.0352280009742127,0.007855945953738758,5458.100864340235,123.6346902445164,992.5895183923546,309.03958652274656,269176.12965529616
17.49047803602669,0.006884282571930127,3089.072680131558,366.5175578018907,685.2614533588104,1341.2391924689696,379439.14681753237
37.29318791183682,0.008421559880484607,2982.1902391252347,1633.5873537207792,2001.9791099251477,6305.829452874586,1470332.468672786
12.642052935932135,0.011768529496848474,16786.900767140185,1191.3686463028168,3347.52505663256,4141.864513365314,1442423.7637553583
6.341590123864319,0.016439545653572717,48999.37815056269,1647.5568458107405,9084.041282221267,4890.356433528668,2820438.7877841224
3.354778965589687,0.01976396485880931,86558.56572466792,2147.0337330373063,15799.437624717932,5634.418906733392,4408520.745957221
34.751014618349586,0.005576882267615104,965.9289328208213,450.2032520018639,529.8559467749092,1734.450781417899,402644.94682505436
0.24849527056210796,0.016678305712187015,52349.22962562923,1121.2603703526563,9500.1079249892,2710.0253238591768,2533344.315006288
31.80858047314277,0.015122129024737772,21637.128112047514,8281.397176049506,9573.44895047813,31802.51104000827,7401252.5161112845
34.70716560086756,0.0033328037312136266,206.53224645837065,95.98682132237046,112.91244090584176,369.7836173410872,85841.51345576916
16.130957784492267,0.004085643071452335,662.9769648197794,68.60774513456137,141.97553064168116,248.33775368565676,73596.174137249
38.83965416440171,0.013219366282896043,10752.479659461016,6473.882424911437,8213.589504712778,25011.679979346285,5864004.243189956
14.890411118369213,0.0031440503051484254,308.9000658876587,28.0765560002843,64.30084046423706,100.41531710277327,31276.490473586622
13.9942044772048,0.007853299796481448,4886.24036937173,403.1698848618358,998.6135826091512,1427.3677496823057,463153.89416079444
32.83227802521289,0.013476034484393837,14722.229284285111,6042.3050759637845,7002.24532537031,23232.881846463893,5396923.772343782
39.924573415934695,0.010499868652915089,5120.669760768477,3288.9750769584107,4293.228788152708,12713.008018650347,2995743.322114642
5.381741067223577,0.014838406170013911,36263.42488721736,1094.684610186839,6681.7268848543545,3128.7434154700054,1993545.8638828963
34.23532718776038,0.012102989556250934,10084.401809129924,4544.312403395732,5319.018394740922,17498.94542980038,4061602.0010350277
