theta_base_deg,total_thickness_m,aspect_ratio,a_m,D11_Nm,D12_Nm,D22_Nm,D66_Nm,critical_load_N_per_m,critical_load_clean_N_per_m
35.140675445660975,0.008860601752748148,3.485912925121973,1.7429564625609866,3811.65747856708,1822.0012972486347,2154.635059710414,7021.849243539255,2298722.247049628,2298722.247049628
35.1757256268268,0.016428748128323647,2.0707053243158047,1.0353526621579023,24260.505333605783,11622.982058073972,13751.202474963295,44795.40451868907,10542643.301772181,10542643.301772181
43.29548701914325,0.008412317384936748,3.4557412128634257,1.7278706064317129,2229.8865043296023,1735.402503358957,2523.515288715786,6713.8416144253,2394329.9805560275,2394329.9805560275
40.73346048185057,0.0027697388852625385,1.048569112276157,0.5242845561380785,90.41466427856159,60.88619607056037,81.35042124763747,235.41529982669522,48760.22345965077,48760.22345965077
25.022064114111085,0.0034495023486211013,3.892771106074908,1.946385553037454,322.49444178233585,74.62250023946287,95.30409915573588,282.7857995993052,108402.85446114765,108402.85446114765
18.38319018589833,0.00785960734892615,2.3932905181262814,1.1966452590631407,4512.3887313221885,583.9526740146798,1027.035138290895,2150.052035711935,648970.1274015905,648970.1274015905
39.21761862263465,0.008353808502152081,1.6471319974017562,0.8235659987008781,2666.2246146109514,1642.1091024590223,2103.353087945417,6345.387519594689,1395759.4661520338,1395759.4661520338
9.075479466038253,0.006338783143451908,1.6432928230866741,0.8216464115433371,2742.132547463316,127.82231175751508,520.7811692719642,413.8432051811352,171051.72298592163,171051.72298592163
11.303890705145113,0.0077742574340906746,2.6104579603212548,1.3052289801606274,4929.023555080062,299.77197385074015,962.6150960722073,1019.3153891633972,472156.0400052037,472156.0400052037
3.6351106078148048,0.00276335719681117,3.1194717011715385,1.5597358505857692,236.3275658279435,6.002346793464747,43.180891794691654,15.935966191372628,20537.939565845907,20537.939565845907
42.9589353412849,0.013042469037996766,3.060916451572028,1.530458225786014,8453.913352654052,6458.327508206588,9279.151993587544,24984.46978511721,7923127.395062334,7923127.395062334
9.81821031123737,0.017784729962947853,1.477936845572884,0.738968422786442,60079.72433199122,3062.869566853376,11506.682076382442,10099.249924334617,3914760.445115576,3914760.445115576
22.997264785442436,0.005760882774413072,2.0798254696460923,1.0399127348230461,1590.14657271433,311.56428636332663,428.0033012902806,1173.107262698619,297452.7837063708,297452.7837063708
3.9399665972671727,0.004184675416515139,3.9846781073486777,1.9923390536743388,819.6294176412982,21.39149728805819,149.94159510240678,57.52896903671683,106798.67464566519,106798.67464566519
23.133721989490734,0.014298351957103089,1.3315866591682073,0.6657933295841036,24223.157725943314,4800.9653773541995,6558.510690846383,18085.442681495337,4233430.345141913,4233430.345141913
28.62089231875464,0.008749366051742192,1.0486952917093706,0.5243476458546853,4697.1400731717085,1432.6627939045056,1690.4122845402976,5474.3938553434655,1219606.9149226237,1219606.9149226237
28.95952070948188,0.003820218205743501,1.477764758257253,0.7388823791286265,386.51454236419085,120.85598267013566,141.98780209973387,462.0929398007721,101741.71423688321,101741.71423688321
31.384630765446456,0.007087879903257049,3.4989964058570275,1.7494982029285138,2263.6810087932854,841.3528402358513,972.8319330881226,3229.1742043061986,1053862.8036200346,1053862.8036200346
42.073363963863834,0.005538103943464889,2.298851504730968,1.149425752365484,676.7202979797296,492.0214262610144,685.7899225341782,1903.0982053797734,487506.9176208476,487506.9176208476
37.18143760685927,0.005569829855286421,3.449725873686392,1.724862936843196,867.0390807454914,471.6637092251344,576.7458500205119,1820.54405305511,598571.2527740638,598571.2527740638
3.688967970671068,0.009231896553977737,3.92079455369264,1.96039727684632,8810.053514580666,224.8153512509494,1610.0734425968826,598.2247992792372,1111976.470797993,1111976.470797993
39.60558999027457,0.0027065667851973564,1.9416270618321227,0.9708135309160614,89.04098603216664,56.12161653703104,72.62289799232103,216.90064212179726,50423.68366742847,50423.68366742847
0.3994829552076967,0.00322044614548634,1.9912341580353314,0.9956170790176657,376.8586180899408,8.083010351305496,68.39406648781919,19.553106933602812,18184.06827498924,18184.06827498924
2.1578917485121503,0.019632956686452728,2.7211029179036688,1.3605514589518344,85167.9302457698,1942.4339793942402,15492.426083502223,4874.368748432663,5905845.667881085,5905845.667881085
33.85276289784406,0.01792160776572945,3.4441015967266657,1.7220507983633329,33253.51126079045,14611.577338710315,17043.628148032873,56244.00455951545,18127356.136957005,18127356.136957005
12.568160243426554,0.018323906189620938,1.974793577385437,0.9873967886927185,63434.04423881945,4464.294742359494,12633.907337188008,15503.210185555829,5387903.801345531,5387903.801345531
41.961079892245934,0.01008154931659701,2.717613461748771,1.3588067308743854,4105.214689840236,2965.899733595026,4118.606311213443,11471.560761027595,3268479.215072914,3268479.215072914
9.219050941890325,0.017597791447126122,1.816254494027953,0.9081272470139765,58585.9168236178,2778.7188777608144,11143.919490740607,9029.803686091478,3797739.5805671536,3797739.5805671536
23.411214952706164,0.010526964108189854,2.533844239701322,1.266922119850661,9594.087826799,1946.2056549282754,2629.472705383324,7338.492755407455,2037989.6940434177,2037989.6940434177
14.062176583985915,0.017303135017740542,3.631824675987647,1.8159123379938236,52205.52065705271,4339.647808042691,10683.609278357559,15376.512460995244,8490294.674336169,8490294.674336169
36.228780665458146,0.012750292189896885,1.2839378321223167,0.6419689160611584,10843.825639281384,5556.859019417087,6678.135310937522,21434.374458874463,4517835.404719906,4517835.404719906
18.07604024708915,0.0034207031329135675,2.9278668274937654,1.4639334137468827,374.425827685408,47.04105581200962,84.45144067114146,172.85008101371955,61314.41828810425,61314.41828810425
15.623948547179719,0.004566939128978214,1.915655428202113,0.9578277141010565,934.5982119215496,91.77449922915217,197.75235229067158,330.6543198611213,98164.7593226758,98164.7593226758
33.46432366933294,0.014459053740868118,1.2610116171856194,0.6305058085928097,17737.155587776586,7595.108824452556,8833.222837486295,29223.88070949268,6209413.51593745,6209413.51593745
37.24775866514422,0.01113584552990035,2.604897281254342,1.302448640627171,6908.825469621826,3773.871039734845,4620.721825537623,14567.140968633801,3876320.42301354,3876320.42301354
14.62469318202102,0.003331879059855149,2.4478550366425247,1.2239275183212623,369.29883310450225,32.62584485023469,76.44225316904826,116.35149711936762,41465.416194877456,41465.416194877456
12.968425408471294,0.015498827938410129,3.340876217274262,1.670438108637131,38160.726897768815,2810.0135696410944,7652.457641170827,9815.617786980134,5278818.158820559,5278818.158820559
23.562721664387077,0.0178546351747002,2.2284145548660548,1.1142072774330274,46616.52665758247,9576.389139676803,12862.82056578742,36127.84948341022,9353472.703190854,9353472.703190854
27.390795779088045,0.009540764726510982,3.674238875313785,1.8371194376568925,6343.144497317827,1764.9251080423146,2124.66755220812,6727.4266466674435,2352617.4728824277,2352617.4728824277
16.574175360432047,0.004814124762648137,2.1872648673304496,1.0936324336652248,1075.5637040134156,116.4502548967831,232.87808562858095,423.1137335767968,128869.1267177656,128869.1267177656
2.86260946934741,0.016726752801787037,2.709889689455508,1.354944844727754,52562.89814253924,1255.0734554262503,9578.958681078577,3229.7645047808824,3668731.361950655,3668731.361950655
3.9458584705181377,0.012654783708818397,3.3001300227357375,1.6500650113678688,22666.52239127733,591.8928808106347,4146.676133046361,1592.1984759456147,2163207.4293305,2163207.4293305
32.50094069222997,0.0036372652213631645,1.1863322096277764,0.5931661048138882,293.2243675696946,117.67412976115958,136.19824709727752,452.28577118658586,96505.8473892018,96505.8473892018
20.745147342879665,0.015970475055155944,3.577104240199268,1.788552120099634,35880.843344759836,5780.473001523984,8831.276601517258,21563.416343852077,8433414.814619869,8433414.814619869
9.526170453418942,0.01869001418815397,2.093173820002353,1.0465869100011764,69954.90273293339,3443.181118841635,13352.385854622229,11274.822373735247,4992200.026803815,4992200.026803815
33.43999396445163,0.017295855693189033,1.1444517799943767,0.5722258899971884,30388.62835754011,12991.40775437287,15106.694464094331,49986.0527398353,10616331.63386244,10616331.63386244
12.968390977912055,0.014201872336987236,3.6520406973477706,1.8260203486738853,29360.071151642456,2161.9577367053294,5887.638521844837,7551.899639961057,4550228.926390203,4550228.926390203
12.054046353867596,0.002117418028964997,3.7680838973924136,1.8840419486962068,98.59204721771347,6.542156995869645,19.473215463813688,22.536456536788073,15264.866872384991,15264.866872384991
34.86595954678895,0.013766322021952306,2.787781315786768,1.393890657893384,14459.5329685158,6789.887415551049,8002.02530407345,26161.38936065765,7195944.379097363,7195944.379097363
27.762496017212023,0.0037431985982289365,3.9855924430310354,1.9927962215155177,378.4738910458261,108.299595495062,129.4891322256554,413.1317202894649,155935.01356165472,155935.01356165472
29.771532193242408,0.0023778414790607953,2.9604723707923055,1.4802361853961528,90.61544802667648,30.051356271344524,35.01770290634147,115.06149311811322,33066.99480924696,33066.99480924696
21.039900556468854,0.006191198459454135,2.2396058902464455,1.1198029451232228,2075.49347805301,343.2804784535183,516.4158375363537,1282.325081566178,348195.9301635217,348195.9301635217
5.801245111195719,0.01869543756948669,1.658098063771282,0.829049031885641,72335.70129619174,2287.135764881732,13362.216706362213,6648.465838032144,3719475.8888200168,3719475.8888200168
42.45326193759188,0.017898193330550358,2.4786833080860804,1.2393416540430402,22412.802036327288,16647.157546590766,23501.906126350037,64394.94599852212,17327660.61593376,17327660.61593376
18.066337489665226,0.01413311834343594,3.0216901741255096,1.5108450870627548,26413.24609501839,3315.3156785968504,5955.804013382723,12181.171317659066,4446385.981176794,4446385.981176794
16.186571738492496,0.0039161280467950015,3.787758743745277,1.8938793718726386,583.2268352834873,60.70013503683972,125.06646419349117,219.8222784612202,111948.30313550906,111948.30313550906
30.38139447039502,0.00642283488695152,3.538650592657932,1.769325296328966,1747.4344486509708,605.3021097559849,702.351214567092,2319.834389994951,766843.2337263223,766843.2337263223
41.750326014749795,0.009894243910177824,3.461289883342023,1.7306449416710115,3921.425417461608,2799.4781630127572,3860.813580566521,10827.322088120345,3769799.827084203,3769799.827084203
12.690580905743554,0.012313122235467882,2.4910402825225644,1.2455201412612822,19213.304593033616,1371.0959116271472,3834.5216180481175,4770.132258970232,1923123.6078822655,1923123.6078822655
20.295617426334022,0.01527260052399932,1.9136124107309564,0.9568062053654782,31718.03974785102,4906.775429241499,7682.113106918985,18264.13422635419,4724102.6718895715,4724102.6718895715
6.603154078937471,0.019309196146409212,3.2335128116254035,1.6167564058127017,79245.5909810707,2746.713589632735,14718.966764776475,8232.377659834847,7891652.248195931,7891652.248195931
42.138808231795224,0.015877905599014516,1.1349521927226625,0.5674760963613312,15895.993726674242,11600.17968315278,16203.84919340302,44869.18641023685,9312565.674328933,9312565.674328933
4.800066316866689,0.018247851219410402,3.1848488517071765,1.5924244258535882,67671.81776889806,1920.7472422944459,12429.258868972152,5358.209753516517,6238346.710931166,6238346.710931166
7.986490378454882,0.01928812570587103,1.3799563552899192,0.6899781776449596,78081.94632639848,3190.8248682879344,14669.154564102482,10017.830098465185,4555436.186430031,4555436.186430031
39.480506866971005,0.007037735750640538,3.62594630917133,1.812973154585665,1574.6743340948215,985.1536346761209,1270.5688976274002,3807.2484579761103,1343208.1020141097,1343208.1020141097
33.783812779411605,0.0043819971147686775,1.3752883709349932,0.6876441854674966,487.44801169216316,213.20837450159596,248.55593926929592,820.6403992366322,175158.52150828624,175158.52150828624
39.16051677618979,0.016344051360370863,3.584638503203846,1.792319251601923,20020.741782479152,12288.590774605364,15717.20114218129,47483.943120907075,16503214.330777228,16503214.330777228
19.003663408078665,0.003917202441867294,1.6007010404359159,0.8003505202179579,551.1813212719321,75.66424521448627,127.86682790487984,279.6598016303758,71562.93588211093,71562.93588211093
10.760066189206693,0.003846456464549574,3.8883850252689465,1.9441925126344732,601.1064113291912,34.28947868991521,116.50829123504685,115.38437773687579,92040.9676601429,92040.9676601429
0.635774434504538,0.01297548243354552,1.8320702022698403,0.9160351011349201,24645.658246782077,530.4299583286656,4473.369262475659,1285.8915511858097,1127579.1323030915,1127579.1323030915
36.360050945627,0.0026237771571713973,3.8215424906442883,1.9107712453221442,93.95842537842091,48.54959935922566,58.47533315613891,187.28761277916323,67376.5525735693,67376.5525735693
14.66939236679012,0.01424611144869998,3.888349711846881,1.9441748559234404,28845.09374806889,2560.582146892975,5976.319405225038,9136.123802237813,5287385.70376791,5287385.70376791
6.02351088614891,0.004577750513171742,3.262284403144909,1.6311422015724546,1060.3553752311125,34.37802395550263,196.15572751988566,100.80898456558948,104981.53227896619,104981.53227896619
17.085016836939168,0.0024646321728474404,1.9144092735435503,0.9572046367717751,142.89845386757597,16.286745605796373,31.35323609945314,59.41898438774302,16744.703642625493,16744.703642625493
29.798766606962005,0.014109170657557022,2.9713049880681934,1.4856524940340967,18912.156321799805,6284.236143039014,7321.141016441731,24062.334319607333,6932242.717178294,6932242.717178294
4.541316256569115,0.008040807856365129,1.0844993478611826,0.5422496739305913,5797.886377245007,160.30086961189224,1063.523880360325,442.2985367285397,326496.03341946256,326496.03341946256
7.331695033937279,0.0052533101447586935,2.6901740761898516,1.3450870380949258,1586.5956286852147,59.9358546045507,296.37239085930014,184.27501768367637,127162.44600039894,127162.44600039894
26.472265107100274,0.004989997681144135,3.6298174376228065,1.8149087188114033,934.3404839044143,242.32969511670098,297.51710917877585,921.7800530632505,322248.6266232297,322248.6266232297
2.0559971803785935,0.004497641868124501,2.912638342007477,1.4563191710037384,1024.1880577541615,23.22580348881904,186.26311458171506,58.09344558170366,78155.78136116485,78155.78136116485
