theta_base_deg,total_thickness_m,aspect_ratio,a_m,D11_Nm,D12_Nm,D22_Nm,D66_Nm,critical_load_clean_N_per_m,critical_load_N_per_m
0.0,0.002,1.0,0.5,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,5100.046838628955,80635.91406279517
0.0,0.002,1.1,0.55,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4617.340932980837,65786.05491826095
0.0,0.002,1.2000000000000002,0.6000000000000001,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4295.654357732587,1.0
0.0,0.002,1.3000000000000003,0.6500000000000001,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4091.228323580444,1.0
0.0,0.002,1.4000000000000004,0.7000000000000002,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,3975.3496169410787,313580.4898670019
0.0,0.002,1.5000000000000004,0.7500000000000002,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,3928.5442324254295,1.0
0.0,0.002,1.6000000000000005,0.8000000000000003,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,3937.2265408135245,177851.35628139938
0.0,0.002,1.7000000000000006,0.8500000000000003,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,3991.6850954208567,1.0
0.0,0.002,1.8000000000000007,0.9000000000000004,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4084.82871432274,1.0
0.0,0.002,1.9000000000000008,0.9500000000000004,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4211.381715681527,219159.48129915466
0.0,0.002,2.000000000000001,1.0000000000000004,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4367.353420550407,1.0
0.0,0.002,2.100000000000001,1.0500000000000005,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4549.680075875973,1.0
0.0,0.002,2.200000000000001,1.1000000000000005,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4755.978004316104,353660.09249597456
0.0,0.002,2.300000000000001,1.1500000000000006,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,4984.370178958354,1.0
0.0,0.002,2.4000000000000012,1.2000000000000006,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,5233.362283555838,1.0
0.0,0.002,2.5000000000000013,1.2500000000000007,90.27338970635587,1.9318694056281793,16.38190039603323,4.666666666666667,5501.752754807525,1.0
